"BLUE 7","BLUE 1"
"BLUE 7",""
"BLUE 4",""
"BLUE 1",""
"BLUE 6",""
"RED 6",""
"RED 1",""
"RED 2",""
"RED 2",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE DRAW_TWO",""
"BLUE DRAW_TWO",""
"RED DRAW_TWO",""
"RED DRAW_TWO",""
"RED DRAW_TWO",""
"RED 5",""
"RED 5",""
"GREEN 5",""
"GREEN 4",""
"GREEN 9",""
"GREEN SKIP",""
"BLUE SKIP",""
"BLUE SKIP",""
"BLUE 1",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 5",""
"YELLOW 5",""
"YELLOW 5",""
"BLUE REVERSE",""
"YELLOW REVERSE",""
"YELLOW 3",""
"YELLOW 3",""
"YELLOW 2",""
"YELLOW 2",""
"YELLOW 7",""
"YELLOW 2",""
"YELLOW 1",""
"YELLOW 1",""
"GREEN 1",""
"GREEN 1",""
"GREEN 8",""
"GREEN 8",""
"GREEN 3",""
"GREEN 3",""
"GREEN 6",""
"BLUE 6",""
"BLUE 7",""
"BLUE 4",""
"BLUE 4",""
"RED 4",""
"RED DRAW_TWO",""
"RED DRAW_TWO",""
"RED 0",""
"RED 7",""
"RED 7",""
"RED 4",""
"RED 4",""
"RED 4",""
"RED 4",""
"RED 4",""
"RED 4",""
"RED 4",""
"RED SKIP",""
"RED SKIP",""
"GREEN SKIP",""
"GREEN 3",""
"GREEN REVERSE",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 8",""
"BLUE REVERSE",""
"BLUE REVERSE",""
"GREEN REVERSE",""
"GREEN REVERSE",""
"GREEN 1",""
"YELLOW 1",""
"YELLOW 0",""
"YELLOW 9",""
"YELLOW 6",""
"YELLOW 7",""
"WILD WILD",""
"BLUE 9",""
"BLUE 9",""
"BLUE 9",""
"BLUE 2",""
"BLUE 2",""
"GREEN 2",""
"GREEN 2",""
"GREEN 0",""
"GREEN 0",""
"GREEN DRAW_TWO",""
"GREEN DRAW_TWO",""
"GREEN DRAW_TWO",""
"BLUE DRAW_TWO",""
"BLUE DRAW_TWO",""
"BLUE 8",""
"BLUE 0",""
"BLUE 0",""
"BLUE 2",""
"BLUE 2",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 5",""
"BLUE 5",""
"RED 5",""
"RED REVERSE",""
"RED 8",""
"RED 8",""
"YELLOW 8",""
"YELLOW REVERSE",""
"YELLOW 6",""
"YELLOW 6",""
"YELLOW 8",""
"YELLOW 8",""
"RED 8",""
"RED REVERSE",""
"RED 3",""
"BLUE 3",""
"RED 3",""
"RED 3",""
"RED 2",""
"RED 2",""
"GREEN 2",""
"GREEN 9",""
"GREEN 5",""
"GREEN 7",""
"GREEN 7",""
"GREEN 6",""
"GREEN 6",""
"GREEN 6",""
"GREEN 8",""
"GREEN 8",""
"GREEN 8",""
"GREEN 8",""
"GREEN 4",""
"YELLOW 4",""
"YELLOW DRAW_TWO",""
"YELLOW DRAW_TWO",""
"YELLOW SKIP",""
"YELLOW 5",""
"YELLOW 9",""
"YELLOW 9",""
"YELLOW DRAW_TWO",""
"YELLOW DRAW_TWO",""
"YELLOW SKIP",""
"YELLOW SKIP",""
"BLUE SKIP",""
"BLUE 3",""
"BLUE 3",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"WILD WILD",""
"BLUE DRAW_TWO",""
"BLUE DRAW_TWO",""
"GREEN DRAW_TWO",""
"GREEN DRAW_TWO",""
"GREEN DRAW_TWO",""
"GREEN 7",""
"WILD WILD",""
"BLUE SKIP",""
"RED SKIP",""
"RED 7",""
"RED 1",""
"RED 6",""
"RED 1",""
"RED 9",""
"RED SKIP",""
"RED SKIP",""
"RED 9",""
"RED 9",""
"RED 5",""
"RED 5",""
"RED 5",""
"RED 7",""
"RED 5",""
"RED 5",""
"RED 4",""
"BLUE 4",""
"YELLOW 4",""
"YELLOW 9",""
"YELLOW 8",""
"YELLOW 8",""
"YELLOW 4",""
"YELLOW 4",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 2",""
"BLUE 6",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 0",""
"BLUE 0",""
"BLUE DRAW_TWO",""
"BLUE DRAW_TWO",""
"RED DRAW_TWO",""
"RED DRAW_TWO",""
"RED 8",""
"RED 3",""
"GREEN 3",""
"GREEN DRAW_TWO",""
"GREEN DRAW_TWO",""
"GREEN REVERSE",""
"GREEN 1",""
"GREEN 1",""
"GREEN 8",""
"GREEN 7",""
"GREEN 5",""
"GREEN REVERSE",""
"WILD WILD_DRAW_FOUR",""
"WILD WILD_DRAW_FOUR",""
"BLUE 1",""
"BLUE 8",""
"BLUE 5",""
"BLUE 3",""
"BLUE 3",""
"BLUE 9",""
"RED 9",""
"RED 4",""
"YELLOW 4",""
"YELLOW 0",""
"YELLOW 0",""
"GREEN 0",""
"GREEN 5",""
"GREEN 7",""
"GREEN 9",""
"GREEN 9",""
"GREEN 9",""
"WILD WILD",""
"WILD WILD",""
"BLUE 3",""
"BLUE 3",""
"RED 3",""
"RED 3",""
"RED 3",""
"RED 3",""
"BLUE 4",""
"BLUE 4",""
"BLUE 8",""
"RED 8",""
"RED 0",""
"RED 1",""
"YELLOW 7",""
